"","Species","DemersPelag","Length","Comments"
"151","Cantherhines sandwichiensis","reef-associated",19.2999992370605,"Benthopelagic over coral and rock (Ref. 58302).  Feeds mainly on algae and detritus, but also takes  tunicates, corals, sponges and other benthic animals (Ref. 3921).  Young spotted (Ref. 1623)."
"152","Novaculichthys taeniourus","reef-associated",30,"Inhabit semi-exposed reef flats and lagoon and seaward reefs (Ref. 1602).  Common in areas of mixed sand, and rubble that are subject to mild surge (Ref. 1602, 58466).  Benthopelagic (Ref. 58302).  Juveniles shallow on rubble amongst large bommies or protected open patches on reef crests and swim as if were a leaf floating along the bottom; large adults move along over large reef section, usually in pairs and typically turn or shift large pieces of rubble or debris that they grab and pull with their mouth or push over with their snout.  Often, while one works the piece, the other grabs exposed prey.  They are sometimes called rock-mover wrasse, but they don't move real rocks (Ref. 48636).  Highly territorial (Ref. 9823).  Feed on mollusks, sea urchins, brittle stars, polychaetes, and crabs (Ref. 5213); feeding is done by overturning large rocks to expose target preys.  The young imitate drifting masses of algae (Ref. 2334).  Marketed fresh (Ref. 9311).  Minimum depth reported from Ref. 30874."
"153","Naso tuberosus","reef-associated",60,"Occurs in coral reefs.  Diet consisted a high proportion of the green alga, <i>Caulerpa</i>."
"154","Coris",NA,NA,NA
"155","Carcharhinus melanopterus","reef-associated",200,"Inhabits shallow water close inshore on coral reefs and in the intertidal zone (reef flats), near reef drop-offs and close offshore (Ref. 244, 58302).  Also found in mangrove areas, moving in and out with the tide (Ref. 6871) and even in fresh water, but not in tropical lakes and rivers far from the sea (Ref. 9997).  Occurs singly or in small groups (Ref. 244, 54301).  Prefers fishes but also feeds on crustaceans, cephalopods and other mollusks (Ref. 6871).  Viviparous (Ref. 50449).  May become aggressive to spear fishers and has been reported to bite people wading in shallow water (Ref. 6871).  Reported to cause poisoning (Ref. 4690).  2 to 4 young of 46 to 52 cm are born per litter (Ref. 1602).  Generally marketed fresh (as fillet), may be dried, salted, smoked (Ref. 5284) or frozen (Ref. 9987).  Fins are valued for shark-fin soup (Ref. 9987); liver as source of oil (Ref. 9997). This species is commonly seen in public aquaria (Ref. 54301).  Maximum reported weight from IGFA was 13.550 kg (Ref. 40637)."
"156","Myripristis",NA,NA,NA
"157","Cantherhines",NA,NA,NA
"158","Caesio caerulaurea","reef-associated",35,"Adults are found in schools in deep lagoons and along seaward reefs in coastal areas (Ref. 9710), mixing with other species of fusiliers (Ref. 48636). Juveniles are used as tuna bait fish. They are oviparous, with small pelagic eggs (Ref. 402)."
"159","Epinephelus multinotatus","reef-associated",100,"Inhabit clear to turbid water in shallow as well as deep water (Ref. 4787).  Juveniles are found in inshore coral reefs (Ref. 5222).  They feed in water to more than 100 m depth (Ref. 27275).  It has been suggested that juveniles mimic the herbivorous damselfish <i>Neopomacentrus sindensis</i>, presumably to get closer to their unsuspecting prey (Ref. 5222, 9710).  Feed on small fishes and crabs.  Probably spawn during restricted periods and form aggregations when doing so (Ref. 27352).  Eggs and early larvae are probably pelagic (Ref. 6390). Solitary (Ref 90102)."
"160","Ostracion meleagris","reef-associated",25,"Inhabits clear lagoon and seaward reefs from the lower surge zone to at least 30 meters (Ref. 37816, 48637).  Juveniles among rocky boulders, often with long spined urchins, and adults on reef crests and slopes.  Males swim about more openly than females that are often in close vicinity to the males (Ref. 48637).  Solitary.  Feeds on didemnid tunicates, polychaetes, sponges, mollusks, copepods, and algae (Ref. 37816)."
"161","Caranx sexfasciatus","reef-associated",120,"Adults inhabit coastal and oceanic waters associated with reefs (Ref. 9283, 58302). Pelagic at 1-96 m (Ref. 58302). They are often seen in large daytime schools but solitary at night when feeding (Ref. 90102). During the day they are usually seen milling in stationary aggregations (Ref. 44894), forming slow-moving schools in the passes or outside the reef (Ref. 4795). Juveniles may be encountered in estuaries (Ref. 9283, 44894), occasionally entering rivers and penetrating well inland (Ref. 2847, 44894). Adults feed mainly on fishes, squids and crustaceans (Ref. 9283, Ref. 90102). They are caught mainly on hook-and-line; also with gill nets, purse seines, and other artisanal gear (Ref. 9894). Marketed fresh, dried or salted (Ref. 9283) and frozen (Ref. 9987). Consumed broiled and baked (Ref. 9987)."
"162","Chaetodon meyeri","reef-associated",20,"Occur in coral rich areas of clear lagoon and seaward reefs, and feed exclusively on coral polyps (Ref. 9710).  Juvenile usually solitary among branching corals, adults usually paired and home-ranging (Ref. 9710, 48636).  Oviparous (Ref. 205).  Form pairs during breeding (Ref. 205)."
"163","Pterois miles","reef-associated",35,"Lives in coastal waters in muddy habitats (Ref. 48635).  Minimum depth of 0m (Ref. 81209). Fin spines highly venomous, may cause human death (Ref. 30573)."
"164","Parupeneus",NA,NA,NA
"165","Lutjanus boutton","reef-associated",35,"Adults inhabit coral reefs.  Often seen in schools near outcrops or drop-offs, often with other species (Ref. 9710), of up to about 30 to 40 individuals.  Small juveniles on shallow algae reef, often near freshwater run-offs (Ref. 48635).  Feed on fishes, shrimps, crabs, other crustaceans, cephalopods and some planktonic items."
"166","Variola louti","reef-associated",83,"Usually seen in clear-water areas at depths below 15 m, and prefers islands and offshore reefs rather than continental shores.  Feeds mainly on fishes, and on crabs, shrimps and stomatopods.  It is highly appreciated for the quality of its flesh.  It may not be sold in Mauritius because of cases of ciguatera poisoning (Ref. 11888).  In the Hong Kong live fish markets (Ref. 27253). This common and important food fish is caught with handlines, spear, and traps (Ref. 39231)."
"167","Acanthurus",NA,NA,NA
"168","Gnathodentex aureolineatus","reef-associated",30,"Inhabits subtidal reef flats, lagoons, and seaward reefs (Ref. 9710).  May be solitary or in groups (Ref. 90102). Sometimes forms aggregations of about a hundred or more individuals.  Feeds at night on benthic invertebrates like crabs and gastropods, occasionally on small fish.  Usually marketed fresh."
"169","Wetmorella",NA,NA,NA
"170","Upeneus sulphureus","demersal",23,"Found in coastal waters, entering estuaries (Ref. 30573). Sandy-muddy bottom (Ref. 43239).  Forms schools (Ref. 5213).  Has appearance of sillaginids when schooling (Ref. 48636)."
"171","Pomacanthus imperator","reef-associated",40,"Juveniles are encountered under ledges, or in holes of outer lagoon patch reefs or semi-protected areas of exposed channels and outer reef flats.  Subadults move to reef front holes and surge channels.  Large adults inhabit ledges and caves in areas of rich coral growth on clear lagoon, channel, or seaward reefs (Ref. 6113).  Benthopelagic (Ref. 58302).  Feed on sponges and other encrusting organisms (Ref. 6113); also on tunicates.  Form pairs.  Young and adults may clean much larger fishes such as sunfish (Ref. 48636).  Frequently exported through the aquarium trade.  Juveniles are distinguished by a white dorsal-fin margin (Ref. 48391)."
"172","Nebrius ferrugineus","reef-associated",320,"Found on continental and insular shelves, from the intertidal down to at least 70 m (Ref. 247).  Occurs on or near the bottom in lagoons or along the outer edges of coral and rocky reefs, sandy areas near reefs and off sandy beaches (Ref. 247, 43278).  Primarily nocturnal, but may be active during the day (Ref. 247).  Prefers crevices and caves on reefs but may be found hiding in more exposed areas (Ref. 247).  Forms resting aggregations, and often seen piled across or on top of one another (Ref. 247).  Feeds on a wide variety of bottom invertebrates, small fishes (Ref. 247), including cephalopods, crustaceans and sea urchins (Ref. 37816), corals (Ref. 68964).  Docile and known to allow itself to be touched, but a few non-fatal attacks have been recorded (Ref. 247).  Ovoviviparous (Ref. 43278).  4 or more young are born per litter (Ref. 37816).  Survives in captivity (Ref. 247).  Marketed fresh and dried-salted; fins dried for the oriental sharkfin trade; liver processed for vitamins and oil; offal processed for fishmeal; hide potentially valuable for leather (Ref. 247)."
"173","Chaetodon nigropunctatus","reef-associated",14,"Found in coral reefs, solitary or paired.  Home-ranging.  Feed at least partially on coral polyps (Ref. 9710).  Oviparous (Ref. 205).  Form pairs during breeding (Ref. 205)."
"174","Rhinoptera javanica","reef-associated",165,"Found in bays, estuaries, and near coral reefs (Ref. 12951), over sand and mud bottoms (Ref. 9710).  Usually solitary or in small aggregations (Ref. 114953).  However, large schools with up to 500 individuals have been reported (Ref. 12951). Feeds on clams, oysters and crustaceans (Ref. 12951).  Lives to over 2 years in captivity (Ref. 12951).  Ovoviviparous (Ref. 50449).  Edible (Ref. 30573). Caught mainly by gill net fisheries (Ref. 114953), occasionally by bottom trawl, demersal inshore gillnet and tangle net fisheries. Utilized for its meat (Ref. 58048)."
"175","Cephalopholis merra",NA,NA,NA
"176","Lethrinus erythracanthus","reef-associated",70,"Occurs in deep lagoons and channels, outer reef slopes and adjacent soft bottom areas (Ref. 30573).  Solitary in or near ledges or caves by day (Ref. 9710).  Feeds on echinoderms, crustaceans, mollusks (Ref. 171), echinoids, crinoids and starfish (Ref. 37816).  May be ciguatoxic in some areas (Ref. 37816). Caught by handline, vertical longline, traps, and trawls. Marketed mostly fresh (Ref. 171, 68703)."
"177","Plectorhinchus gibbosus","reef-associated",75,"Found in coastal reefs, sandbanks, and near estuaries (Ref. 30573).  Enter freshwater (Ref. 7050).  Small juveniles occur along sheltered sandy shorelines where they mimic a dead leaf by drifting on their sides (Ref. 37816).  Adults mainly in protected inshore reefs to deep offshore, sometimes swims in small groups (Ref. 48635).  Excellent food fish (Ref. 2799)."
"178","Scarus falcipinnis","reef-associated",60,"Inhabits steep seaward reef slopes to at least 20 m depth (Ref. 9710).  Feeds on benthic algae.  Also caught with nets, and other kinds of artisanal gear.  Sold mostly fresh in markets."
"179","Macolor niger","reef-associated",75,"Adults are found on steep outer walls of lagoon, channel and seaward slopes in large schools (Ref. 9710, 48635).  Juveniles are solitary (Ref. 30573).  Feeds largely on fishes and crustaceans  Caught with handlines, gill nets, and traps, but also speared by divers and are frequently seen in markets and sold mainly fresh (Ref. 9821)."
"180","Lutjanus rivulatus","reef-associated",80,"Occasionally encountered in coral reefs or shallow inshore flats (Ref. 30573).  Found singly or in small groups (up to 15 to 20 individuals).  Adults on deep coastal slopes; juveniles on shallow algae-reef flats, often near freshwater run-offs (Ref. 48635).  Feed on fishes, cephalopods and benthic crustaceans (Ref. 30573).  An excellent food fish.  In Hong Kong live fish markets (Ref. 27253). Caught with handlines, traps, and gill nets, occasionally trawled; important to artisanal fisheries and marketed mostly fresh (Ref. 9821). Minimum depth reported taken from Ref. 57178."
"181","Acanthurus blochii","reef-associated",45,"Adults occur in outer lagoon and seaward reefs, usually seen in small groups and school in some oceanic locations (Ref. 48637).  Benthopelagic (Ref. 58302).  They feed primarily on the algal film covering compacted sand, ingesting the usual component of sand which probably aids in the trituration of the algal food in the thick-walled stomach, also feed on diatoms and detritus (Ref. 3921)."
"182","Lutjanus carponatus",NA,NA,NA
"183","Mugil cephalus","benthopelagic",100,"Adults are found in coastal waters (Ref. 2850, 44894, 57400), often entering estuaries and rivers (Ref. 2847, 3573, 11230, 44894, 57400), sometimes far-up-river, lagoons and hypersaline environments (Ref. 57400).  They are usually in schools over sand or mud bottom (Ref. 2850), between 0 and 10 m, occurring equally in tropical, subtropical and temperate waters (Project MUGIL).  They are mainly diurnal, feeding on detritus, micro-algae and benthic organisms (Ref. 56548, 74902, 74760).  Juveniles feed on zooplankton until about 3.0 cm SL (Ref. 59043).  Reproduction takes place at sea, at various times of the year depending on the location (Ref. 74907, Amour).  Adults form schools and migrate offshore to spawn and developing larvae migrate back inshore (Ref. 81659). There is absence of an obligatory freshwater phase in the life cycle (Ref. 74752).   Females spawn 0.8 to 2.6 million eggs which develop at sea (Ref. 74912, Chen & Su 1986).  Sexually mature at 3 to 4 years (Ref. 74902).  Maximum length reported as 120 cm SL (Ref. 7399, 57400, 81659) remains to be confirmed (Project MUGIL).  Maximum weight reported as 12 kg (Ref. 56527) seems too high for the area and remains to be confirmed (Project MUGIL).  Widely cultivated in freshwater and brackish ponds (Ref. 2847, Jackson 1984, Liao 1981).  Marketed fresh, dried, salted, and frozen; roe sold fresh or smoked (Ref. 9321); also used in Chinese medicine (Ref. 12166)."
"184","Rastrelliger kanagurta","pelagic-neritic",NA,"Adults occur in coastal bays, harbors and deep lagoons, usually in some turbid plankton-rich waters.  Form schools.  Feed on phytoplankton (diatoms) and small zooplankton (cladocerans, ostracods, larval polychaetes, etc.) (Ref. 9684).  Small groups were seen eating eggs of <i>Cheilio inermis</i> straight after spawning (Ref. 48637).  Adult individuals feed on macroplankton such as larval shrimps and fish.  Eggs and larvae are pelagic (Ref. 6769).  Generally marketed fresh, frozen, canned, dried-salted, and smoked; also made into fish sauce (Ref. 9684)."
"185","Lethrinus microdon","reef-associated",80,"Found over sandy areas near coral reefs (Ref. 30573).  Feeds on fish, crustaceans, cephalopods, and polychaetes.  Swims in small schools sometimes together with <i>L. olivaceous</i>.  Utilized as a food fish."
"186","Pomadasys commersonnii","reef-associated",80,"Found in coastal waters, estuaries, and tidal fissures; can tolerate freshwater.  It can jet a stream of water into the mud to expose crustaceans, worms and small bivalves which it feeds on (Ref. 11441); including fish (Ref. 5213).  Tasty food fish (Ref. 2799).  Maximum depth range from Ref. 122702."
"187","Plectorhinchus picus","reef-associated",84,"A solitary species (Ref. 9710) found in lagoon and seaward reefs.  Adults usually under coral heads or in caves, while juveniles are found in shallow lagoons.  Feeds on crustaceans and mollusks.  Generally marketed fresh (Ref. 5284)."
"188","Lethrinus conchyliatus","reef-associated",76,"Solitarily inhabits sand, rubble, and weed areas near corals (Ref. 90102) in deep reefs.  Feeds on crustaceans and small fishes.  Gonads in spawning state have been observed in October.  This species is not well represented in museums due to the relatively large capture size for most specimens (Ref. 2295).  Also caught with handlines (Ref. 9775)."
"189","Plotosus lineatus","reef-associated",32,"Coastal benthic (Ref. 68964). The only catfish found in coral reefs.  Also found in estuaries, tide pools and open coasts.  Juveniles form dense ball-shaped schools of about 100 fish; adults are solitary or occur in smaller groups of around 20 and are known to hide under ledges during the day (Ref. 1602, 5503, 12693, 37816, 48635).  Adults search and stir the sand incessantly for crustaceans, mollusks, worms, and sometimes fish (Ref. 5213).  Oviparous, with demersal eggs and planktonic larvae (Ref. 205).  The highly venomous serrate spine of the first dorsal and each of the pectoral fins are dangerous, and even fatal in rare cases (Ref. 1602)."
"190","Mulloidichthys vanicolensis","reef-associated",38,"This occasionally schooling species inhabits sandy bottoms of reef flats, lagoons, coastal and seaward reefs (Ref. 9710, 90102).  Benthopelagic (Ref. 58302).   In large inactive aggregations by day, dispersing to sand flats to feed at night (Ref. 9710).  Sometimes mixes with blue-striped snapper <i>Lutjanus kasmira</i> and shows blue stripes (Ref. 48636).  Feeds on small worms and crustaceans.  Also caught using ringnets (Ref. 5213).  Minimum depth reported taken from Ref. 30874."
"191","Lutjanus kasmira","reef-associated",40,"Adults inhabit coral reefs, occurring in both shallow lagoons and on outer reef slopes.  Frequently found in large aggregations around coral formation, caves or wrecks during the day.  Juveniles inhabit seagrass beds around patch reefs (Ref. 9710).  Benthopelagic (Ref. 58302).  Feed on fishes, shrimps, crabs, stomatopods, cephalopods, and planktonic crustaceans.  Also take a variety of algae (Ref. 4821).  Minimum depth reported taken from Ref. 30874."
"192","Scarus guacamaia","reef-associated",120,"Inhabits coral reefs.  Young are commonly found in mangrove areas.  Feeds mainly on benthic algae (Ref. 3802).  Known to have a home cave to which it retires at night or when danger threatens; makes use of the sun as an aid to locating the cave."
"193","Plectorhinchus schotaf","reef-associated",80,"Found around rocks and corals from the surf zone to a depth of 80 m (Ref. 2799).  Enters estuaries and rivers in Seychelles, Madagascar and South Africa (Ref. 2135).  Juveniles occur in tide pools (Ref. 9710)."
"194","Lutjanus campechanus","reef-associated",100,"Adults are found over rocky bottoms.  Juveniles inhabit shallow waters, common over sand or muddy bottoms.  Feed mainly on fishes, shrimps, crabs, worms, cephalopods, and some planktonic items including urochordates and gastropods.  Marketed fresh and eaten steamed, broiled and baked (Ref. 9988).  Heavily exploited in American waters where it is now closely protected; shrimp fishing, accused of destroying young snappers, is currently restricted."
"195","Lethrinus genivitattus",NA,NA,NA
"196","Plectorhinchus lineatus","reef-associated",72,"Found in deep inner to outer reef habitats (Ref. 48635).  Occurs singly or in aggregations along coral slopes of clear lagoon and seaward reefs.  Juveniles solitary on shallow protected reefs (Ref. 48635).  Generally nocturnal, feeding on benthic invertebrates in open sand flats and seagrass beds at night and conspicuously rests during the day (Ref. 9710, 90102).  At Palau, it aggregates to spawn around new moon (Ref. 37816). Taken by handline and spear. Marketed fresh, a small quantity is salted (Ref. 47695)."
"197","Plectorhinchus chubbi","reef-associated",75,"A relatively rare species (Ref. 9710) found in coastal areas near reefs (Ref. 30573).  Juveniles in shallow weedy areas.  Omnivorous (Ref. 2799).  Good to eat."
"198","Mulloidichthys dentatus","reef-associated",31,"Inhabits sand, mud and rock bottoms of shallow waters near the coast (Ref. 9322).  Often occurs in small schools but may also be solitary.  Feeds by digging in the sand with its barbels.  Rests on the bottom at night, dramatically changing both color and daytime pattern to reddish blotches (Ref. 5227).  Young are pelagic."
"199","Scarus harid",NA,NA,NA
"200","Acanthurus xanthopterus","reef-associated",70,"Live in various reef habitats, sand slopes and lagoons (Ref. 48637).  Juveniles inhabit shallow, protected, turbid inshore waters while adults prefer deeper areas of protected bays and lagoons.  Also in outer reef areas (Ref. 1602).  Benthopelagic (Ref. 58302).  Schooling species, feed on diatoms, detritus film of sand, filamentous algae, hydroids, and pieces of fish (Ref. 1602, 48637).  Probably the only surgeonfish that readily takes bait (Ref. 12484)."
"201","Monodactylus argenteus","pelagic-neritic",27,"Found in bays, mangrove estuaries, tidal creeks, and lower reaches of freshwater streams (Ref. 2847, 44894, 48636); occasionally in silty coastal reefs (Ref. 9710).  Feeds on plankton and detritus (Ref. 5213, 44894).  Commonly seen in schools (Ref. 44894); small juveniles either solitary or in small aggregations (Ref. 48635).  Highly territorial (Ref. 9710).  Caught with throw nets (Ref. 30573)."
"202","Aphareus furca","reef-associated",70,"Adults inhabit inshore coral and rocky reefs and in clear waters of lagoons (Ref. 9821).  Pelagic and benthopelagic (Ref. 58302).  Occur singly or in small groups.  Feed mainly on fishes, but also eat crustaceans.  Individuals with brilliant yellow on head may be nuptial males (Ref. 9821).  Often curious and approachable (Ref. 9710).  Marketed fresh."
"203","Anampses lineatus","reef-associated",13,"Adults inhabit lagoon and seaward reefs, usually deeper than 20 m to at least 42 m (Ref. 9710).  Juveniles are solitary and adults form small groups, each with several females and a dominant male (Ref. 48636).  Oviparous, distinct pairing during breeding (Ref. 205).  Minimum depth reported from Ref. 27115."
"204","Zebrasoma velifer","reef-associated",40,"Occurs in lagoon and seaward reefs from the lower surge zone to a depth of at least 30 m.  Solitary juveniles found among rocks or coral (Ref. 58534) of shallow protected, sometimes turbid reefs (Ref. 1602, 48637).  Benthopelagic (Ref. 58302).  Feeds on leafy macroalgae.  It possesses, fewer and larger pharyngeal teeth, compared to the other <i>Zebrasoma</i> spp. (Ref. 33204).  The species is never poisonous (Ref. 4795)."
"205","Chlorurus sordidus","reef-associated",40,"One of the most widespread parrotfishes, but highly variable and some geographical forms that are probably subspecific (Ref. 48636).  Inhabit both coral rich (Ref. 58652) and open pavement areas of shallow reef flats and lagoon and seaward reefs (Ref. 5213), as well as drop-offs, behaving differently in various areas (Ref. 48636).  Benthopelagic (Ref. 58302).  Juveniles found in coral rubble areas of reef flats and lagoons (Ref. 9710).  Juveniles and individuals in the initial phase form large groups that migrate great distances between feeding and sleeping grounds (Ref. 9710).  Feed on benthic algae (Ref. 30573).  Minimum depth range reported taken from Ref. 30874.  Protogynous (Ref. 55080).  Minimum depth from Ref. 58018."
"206","Umbrina canariensis","demersal",80,"Found in mud and sandy bottoms of the shelf and upper slope (Ref. 4780), 14° to 15° C (Ref. 36731).  Feed on small shrimps, worms and other bottom invertebrates (Ref. 4780).  Sold fresh and dried salted (Ref. 3490)."
"207","Cheilinus oxycephalus","reef-associated",17,"Found in coral-rich areas of lagoon and seaward reefs at depths of 1 to over 40 m (Ref. 1602, 48636, 58534).  A secretive  species (Ref. 8631, 48636), rarely ventures more than a few centimeters from shelter (Ref. 1602).  A shy species, usually found in pairs when adult (Ref. 48636).  Oviparous, distinct pairing during breeding (Ref. 205)."
"208","Pseudalutarius nasicornis","reef-associated",19,"Inhabit coastal reefs and enter estuaries.  Often in silty habitat and usually on slopes with low rubble reef and rich invertebrate growth, ranging to moderate depths (Ref. 48637).  Found on  weedy and sandy areas of lagoon and seaward reefs (Ref. 9710).  Often found in pairs (Ref. 9710). Sometimes solitary or in groups (Ref. 90102). Juveniles hide or shelter near seawhips or seapens (Ref. 48637)."
"209","Echidna polyzona","reef-associated",72.3000030517578,"Inhabits reef flats, clear shallow lagoons, and seaward reefs (Ref. 9710).  Benthic (Ref. 58302).  Feeds mainly on small crustaceans during both day and night (Ref. 9710)."
"210","Siganus canaliculatus","reef-associated",40,"Adults inhabit inshore, algae reefs, estuaries and in large lagoons with algae-rubble habitats.  Mainly common on rocky substrates (Ref. 48637).  In contrast to <i>S. fuscescens</i>, this species seems to tolerate more turbid waters, occurring within the vicinity of river mouths especially around seagrass beds.  Adults also occur several kilometers offshore in deep, clear waters.  Juveniles form very large schools in shallow bays and coral reef flats; school size reduces with size, with adults occurring in groups of 20 individuals or so.  Herbivorous, feed on benthic algae and to some extent on seagrass.  Fished by trawling and seine netting; bycatch in traps set in deep water and marketed fresh in very large numbers (Ref. 9813).  Consumed as food; and have poisonous spines (Ref. 4537)."
"211","Callistoctopus macropus",NA,NA,NA
"212","Acanthopagrus berda","demersal",90,"Feeds on invertebrates, including worms, mollusks, crustaceans and echinoderms (Ref. 5213), and small fish (Ref. 3670).  Protandrous hermaphrodite (Ref. 55367).  The flesh is excellent.  Sold fresh in markets. It is parasitised by the monogenean <i>Anoplodiscus australis</i> on the fins and body surface (Ref. 124057)."
"213","Lethrinus elongatus",NA,NA,NA
"214","Siganus",NA,NA,NA
"215","Histiopterus typus","reef-associated",42,"Inhabits deep rocky reefs (Ref. 9710, 11230)."
"216","Scarus tricolor","reef-associated",26.6000003814697,"Inhabits lagoon and seaward reefs, in areas with dense coral growth (Ref. 9710) up to at least 30 m.  Usually solitary, sometimes in groups (Ref. 9710).  Feeds on benthic algae (Ref. 3488)."
"217","Pempheris adusta","reef-associated",17,"This fish is common on coral reefs (Ref. 6645); forming aggregations in caves or crevices or under overhangs (Ref. 48636) by day, but a few may at times be seen in the open, close to the shelter of reefs.  This species is also observed forming small groups with <i>Myripristis murdjan</i> at 0.5-1 m below the surface.  At night, it is known to feed on zooplankton (Ref. 94773).  Spawning occur during April to June, and is year-round in Okinawa I. (Koeda et al., in press - in Ref. 95675).  Spawning occurred after sunset with individuals larger than 11 cm SL joining the spawning group (Ref. 95675).  Flesh is edible (Ref. 12484)."
"218","Myripristis melanosticta",NA,NA,NA
"219","Lethrinus xanthochilus","reef-associated",70,"Occurs in small groups over seagrass beds, sand and rubble areas of coral reefs, deep channels, and lagoons.  Usually found in shallow water to depths of 150 m.  Usually seen solitary but sometimes swims in small groups.  Juveniles in seagrass beds (Ref. 48635).  Feeds mainly on crustaceans, fishes, and echinoderms. Caught mostly with handline, traps,
and trawl (Ref. 114226)."
"220","Lethrinus enigmaticus","reef-associated",55,"Found over seagrass beds, coral reefs and adjacent sandy areas.  Feeds mainly on echinoderms, crustaceans, and fish, and to a lesser degree on mollusks.  Smaller, more numerous females than males have been confirmed for the Saya de Malta population (Ref. 2295).  Marketed fresh (Ref. 171)."
